Category	API	Parameters	Optional	"FusionSphere Support
（Y1:支持未验证
Y:官方宣称支持）"	Hybrid Cloud Support	Solution
Compute API v2 (SUPPORTED)						
API versions	List API versions			Y1	Y	
Limits	List limits			Y1	Y	
Extensions	List extensions			Y1	Y	
	Get extension			Y1	Y	
Servers	List servers			Y	Y	
	Create server	security_groups	Y	Y	Y	Create VM + Run Container
		user_data	Y	Y	Y	
		availability_zone	Y	Y	Y	
		imageRef	N	Y	Y	
		flavorRef	N	Y	Y	
		networks:uuid	Y	Y	Y	
		networks:port	Y	Y	Y	
		networks:fixed_ip	Y	Y	Y	
		metadata	Y	Y	Y	
		personality	Y	Y	Y	容器支持直接修改文件
		block_device_mapping_v2	Y	Y	Y(有差异)	
		device_name	Y	Y	Y	
		source_type	Y	Y	Y	
		destination_type	Y	Y	Y	
		delete_on_termination	Y	Y	Y	
		guest_format	Y	Y	N	指定磁盘文件类型（ephemeral or swap）
		boot_index	Y	Y	Y	
		config_drive	Y	Y	N	
		key_name	Y	Y	Y	
		os:scheduler_hints	Y	Y	N	只有一个host，不存在host调度选择
		OS-DCF:diskConfig	Y	Y	Y	镜像需要记录实际占用大小
	List details for servers			Y	Y	
	Get server details			Y	Y	
	Update server			Y	Y	刷新数据库记录
	Delete server			Y	Y	删除容器+虚拟机
Server metadata	Show server metadata			Y1	Y1	
	Create or replace server metadata items			Y1	Y1	
	Update server metadata items			Y1	Y1	
	Show server metadata item details			Y1	Y1	
	Create or update server metadata item			Y1	Y1	
	Delete server metadata item			Y1	Y1	
Server addresses	List addresses			Y1	Y1	
	List addresses by network			Y1	Y1	
Server actions	Change password			Y1	Y1	
	Reboot server			Y	Y	
	Rebuild server			Y1	Y	替换镜像重新创建虚拟机（如果使用volume启动虚拟机，则没有任何变化）http://blog.csdn.net/lynn_kong/article/details/9102253
	Resize server			Y1	N	指定flavor迁移虚拟机（当前级联方案，被级联层只有一个host，此处会直接报错，需要修改nova-api代码才能支持）http://docs.openstack.org/user-guide/cli_change_the_size_of_your_server.html
	Confirm resized server			Y1	N	如果resize成功，虚拟机状态变为VERIFY_RESIZE，Confirm resize后，虚拟机状态变为ACTIVE
	Revert resized server			Y1	N	如果resize失败，可以revert resize，重新回滚
	Create image			Y	Y?	使用docker的导出镜像功能
Flavors	List flavors			Y	Y	
	List details for flavors			Y	Y	
	Get flavor details			Y	Y	
Images	List images			Y1	Y1	
	List images details			Y1	Y1	
	Get image details			Y1	Y1	
	Delete image			Y1	Y1	
Image metadata	Show image metadata			Y1	Y1	
	Create or replace image metadata			Y1	Y1	
	Update image metadata items			Y1	Y1	
	Show image metadata item details			Y1	Y1	
	Create or update image metadata item			Y1	Y1	
	Delete image metadata item			Y1	Y1	
Compute API v2 extensions (SUPPORTED)						
Servers with block device mapping format (servers)	List servers			Y	Y	
	Create server			Y	Y	
Servers with configuration drive (servers)	Create server with configuration drive			Y	N	
	Get server information with configuration drive			Y	N	
	Get server details with configuration drive			Y	N	
Servers console (servers)	Get console			Y	Y	
